Date,Open,High,Low,Close,Adj Close,Volume
2002-04-29,20.363636,20.363636,20.363636,20.363636,4.913608,534143
2002-04-30,20.463634,20.463634,20.463634,20.463634,4.937736,152739
2002-05-01,20.463634,20.463634,20.463634,20.463634,4.937736,0
2002-05-02,20.354546,20.354546,20.354546,20.354546,4.911414,732357
2002-05-03,20.909090,20.909090,20.909090,20.909090,5.045221,254467
2002-05-06,20.945454,20.945454,20.945454,20.945454,5.053995,906350
2002-05-07,22.663635,22.663635,22.663635,22.663635,5.468581,914468
2002-05-08,23.672726,23.672726,23.672726,23.672726,5.712068,1550774
2002-05-09,24.436363,24.436363,24.436363,24.436363,5.896328,1438810
2002-05-10,24.872726,24.872726,24.872726,24.872726,6.001620,4277024
2002-05-13,25.281816,25.281816,25.281816,25.281816,6.100332,2026287
2002-05-14,26.118181,26.118181,26.118181,26.118181,6.302141,3283389
2002-05-15,26.209089,26.209089,26.209089,26.209089,6.324076,2509820
2002-05-16,25.636362,25.636362,25.636362,25.636362,6.185879,1216758
2002-05-17,25.572725,25.572725,25.572725,25.572725,6.170525,1464654
2002-05-20,25.272726,25.272726,25.272726,25.272726,6.098138,741405
2002-05-21,25.190908,25.190908,25.190908,25.190908,6.078394,566406
2002-05-22,24.409090,24.409090,24.409090,24.409090,5.889748,224206
2002-05-23,23.636362,23.636362,23.636362,23.636362,5.703293,793677
2002-05-24,24.199999,24.199999,24.199999,24.199999,5.839295,132829
2002-05-27,23.718182,23.718182,23.718182,23.718182,5.723036,36128
2002-05-28,23.554544,23.554544,23.554544,23.554544,5.683552,84556
2002-05-29,23.400000,23.400000,23.400000,23.400000,5.646262,31926
2002-05-30,23.581818,23.581818,23.581818,23.581818,5.690132,23005
2002-05-31,25.354546,25.354546,25.354546,25.354546,6.117879,451983
2002-06-03,24.699999,24.699999,24.699999,24.699999,5.959941,552749
2002-06-04,24.427273,24.427273,24.427273,24.427273,5.894134,125074
2002-06-05,26.018181,26.018181,26.018181,26.018181,6.278010,760066
2002-06-06,27.599998,27.599998,27.599998,27.599998,6.659693,5761029
2002-06-07,27.409090,27.409090,27.409090,27.409090,6.613627,651595
2002-06-10,28.018181,28.018181,28.018181,28.018181,6.760596,727864
2002-06-11,29.418180,29.418180,29.418180,29.418180,7.098407,1334948
